player_id,wc,jersey_nb,player,captain,position,DOB,age,exp,club,country,league_division,nat_championship,nat_top5,cont_championship,goals_scored,games_played,share_games_played
Cafu-06,2006,2,Cafu,1,D,7-Jun-70,36,146,Milan,Italy,1,0,1,0,0,7,0.777777778
G. Rinaldi-94,1994,22,G. Rinaldi,0,G,13-Jan-59,35,8,Flamengo,Brazil,1,0,0,0,0,1,0.066666667
Dunga-98,1998,8,Dunga,1,MC,31-Oct-63,34,89,Júbilo Iwata,Japan,1,0,1,0,0,8,0.4
Bebeto-98,1998,20,Bebeto,0,A,16-Feb-64,34,75,Botafogo,Brazil,1,0,0,0,1,6,0.3
Gilberto-10,2010,16,Gilberto,0,D,25-Apr-76,34,34,Cruzeiro,Brazil,1,0,1,0,0,1,0.1
Júlio Cesar-14,2014,12,Júlio Cesar,0,G,3-Sep-79,34,80,Toronto,Canada,1,0,0,0,0,6,0.6
Roberto Carlos-06,2006,6,Roberto Carlos,0,D,10-Apr-73,33,128,Real Madrid,Spain,1,0,1,0,1,8,0.888888889
Rogério Ceni-06,2006,12,Rogério Ceni,0,G,22-Jan-73,33,15,São Paulo,Brazil,1,0,0,1,0,1,0.111111111
G. Silva-10,2010,8,G. Silva,0,MC,7-Oct-76,33,93,Panathinaikos,Greece,1,1,1,0,0,9,0.9
Miranda-18,2018,8,Miranda,3,D,7-Sep-84,33,45,Internazionale,Italy,1,0,1,0,1,8,0.8
Thiago Silva-18,2018,9,Thiago Silva,2,D,22-Sep-84,33,69,Paris Saint-Germain,France,1,1,1,0,0,8,0.8
Fernandinho-18,2018,14,Fernandinho,17,MC,4-May-85,33,42,Manchester City,England,1,1,1,0,0,8,0.8
Taffarel-98,1998,1,Taffarel,0,G,8-May-66,32,101,Atlético Mineiro,Brazil,1,0,1,0,0,12,0.6
Aldair-98,1998,3,Aldair,0,D,30-Nov-65,32,72,Roma,Italy,1,0,1,0,0,12,0.6
Gonçalves-98,1998,14,Gonçalves,0,D,22-Feb-66,32,22,Botafogo,Brazil,1,0,0,0,0,9,0.45
Dida-06,2006,1,Dida,0,G,7-Oct-73,32,91,Milan,Italy,1,0,1,0,0,7,0.777777778
Lúcio-10,2010,3,Lúcio,1,D,8-May-78,32,93,Internazionale,Italy,1,1,1,1,0,7,0.7
Maxwell-14,2014,14,Maxwell,0,D,27-Aug-81,32,7,Paris Saint-Germain,France,1,1,1,0,0,9,0.9
Maicon-14,2014,23,Maicon,0,D,26-Jul-81,32,73,Roma,Italy,1,0,1,0,1,6,0.6
Filipe Luís-18,2018,6,Filipe Luís,6,D,9-Aug-85,32,31,Atlético de Madrid,Spain,1,0,1,0,0,3,0.3
Geromel-18,2018,11,Geromel,4,D,21-Sep-85,32,2,Grêmio,Brazil,1,0,1,1,0,1,0.1
Ricardo Rocha-94,1994,3,Ricardo Rocha,0,D,11-Sep-62,31,42,Vasco da Gama,Brazil,1,0,0,0,0,9,0.6
Cafu-02,2002,2,Cafu,1,D,7-Jun-70,31,110,Roma,Italy,1,0,1,0,0,7,0.5
Zé Roberto-06,2006,11,Zé Roberto,0,MC,6-Jul-74,31,82,Bayern Munich,Germany,1,1,1,0,0,8,0.888888889
J. Pernambucano-06,2006,19,J. Pernambucano,0,MC,30-Jan-75,31,40,Lyon,France,1,1,1,0,5,9,1
Juan-10,2010,4,Juan,0,D,1-Feb-79,31,76,Roma,Italy,1,0,1,0,0,2,0.2
Grafite-10,2010,23,Grafite,0,A,2-Apr-79,31,3,Wolfsburg,Germany,1,0,0,0,0,2,0.2
Jefferson-14,2014,1,Jefferson,0,G,2-Jan-83,31,9,Botafogo,Brazil,1,0,1,0,0,2,0.2
Dani Alves-14,2014,2,Dani Alves,0,D,6-May-83,31,76,Barcelona,Spain,1,0,1,0,0,0,0
Victor-14,2014,22,Victor,0,G,21-Jan-83,31,6,Atlético Mineiro,Brazil,1,0,0,0,0,1,0.1
Branco-94,1994,6,Branco,0,D,4-Apr-64,30,73,Fluminense,Brazil,1,0,0,0,1,12,0.8
Bebeto-94,1994,7,Bebeto,0,A,16-Feb-64,30,58,Deportivo La Coruña,Spain,1,0,1,0,8,8,0.533333333
Dunga-94,1994,8,Dunga,0,MC,31-Oct-63,30,48,VfB Stuttgart,Germany,1,0,0,0,2,13,0.866666667
César Sampaio-98,1998,5,César Sampaio,0,MC,31-Mar-68,30,36,Yokohama Flügels,Japan,1,0,0,0,2,10,0.5
Rivaldo-02,2002,10,Rivaldo,0,MC,19-Apr-72,30,64,Barcelona,Spain,1,0,1,0,3,7,0.5
Edílson-02,2002,20,Edílson,0,A,17-Sep-71,30,19,Cruzeiro,Brazil,1,0,0,0,5,12,0.857142857
Émerson-06,2006,5,Émerson,0,MC,4-Apr-76,30,74,Juventus,Italy,1,0,0,0,0,8,0.888888889
Gilberto-06,2006,16,Gilberto,0,D,25-Apr-76,30,10,Hertha BSC,Germany,1,0,0,0,0,3,0.333333333
Mineiro-06,2006,18,Mineiro,0,MC,2-Aug-75,30,3,São Paulo,Brazil,1,0,0,1,0,0,0
Ricardinho-06,2006,20,Ricardinho,0,MC,23-May-76,30,20,Corinthians,Brazil,1,1,1,0,1,7,0.777777778
Julio Cesar-10,2010,1,Júlio César,0,G,3-Sep-79,30,48,Internazionale,Italy,1,1,1,1,0,9,0.9
Josué-10,2010,17,Josué,0,MC,19-Jul-79,30,27,Wolfsburg,Germany,1,0,0,0,0,2,0.2
Kléberson-10,2010,20,Kléberson,0,MC,19-Jun-79,30,33,Flamengo,Brazil,1,1,1,0,0,1,0.1
Doni-10,2010,22,Doni,0,G,22-Oct-79,30,10,Roma,Italy,1,0,1,0,0,0,0
Fred-14,2014,9,Fred,0,A,3-Oct-83,30,34,Fluminense,Brazil,1,0,0,0,1,4,0.4
Dante-14,2014,13,Dante,0,D,18-Oct-83,30,12,Bayern Munich,Germany,1,1,1,0,1,7,0.7
Cássio-18,2018,2,Cássio,16,G,6-Jun-87,30,1,Corinthians,Brazil,1,1,1,0,0,1,0.1
Marcelo-18,2018,7,Marcelo,12,D,12-May-88,30,53,Real Madrid,Spain,1,0,1,1,1,7,0.7
R. Augusto-18,2018,17,R. Augusto,8,MC,8-Feb-88,30,28,Beijing Guoan,China,1,0,0,0,0,7,0.7
Taison-18,2018,23,Taison,21,A,13-Jan-88,30,6,Shaktar Donetsk,Ukraine,1,1,1,0,0,4,0.4
Jorginho-94,1994,2,Jorginho,0,D,17-Aug-64,29,50,Bayern Munich,Germany,1,1,1,0,0,11,0.733333333
Raí-94,1994,10,Raí,1,MC,15-May-65,29,46,Paris Saint-Germain,France,1,1,1,0,4,12,0.8
Zetti-94,1994,12,Zetti,0,G,10-Jan-65,29,7,São Paulo,Brazil,1,0,1,1,0,4,0.266666667
Zé Carlos-98,1998,13,Zé Carlos,0,D,14-Nov-68,29,1,São Paulo,Brazil,1,0,0,0,0,1,0.05
André Cruz-98,1998,15,André Cruz,0,D,20-Sep-68,29,33,Milan,Italy,1,0,0,0,0,3,0.15
Roberto Carlos-02,2002,6,Roberto Carlos,0,D,10-Apr-73,29,89,Real Madrid,Spain,1,0,1,1,1,8,0.571428571
J. Paulista-02,2002,19,J. Paulista,0,MC,22-Feb-73,29,48,Flamengo,Brazil,1,0,0,0,2,9,0.642857143
Rogério Ceni-02,2002,22,Rogério Ceni,0,G,22-Jan-73,29,14,São Paulo,Brazil,1,0,0,0,0,0,0
Ronaldo-06,2006,9,Ronaldo,0,A,22-Sep-76,29,99,Real Madrid,Spain,1,0,1,0,5,6,0.666666667
Cris-06,2006,15,Cris,0,D,3-Jun-77,29,17,Lyon,France,1,1,1,0,0,1,0.111111111
G. Silva-06,2006,17,G. Silva,0,MC,7-Oct-76,29,40,Arsenal,England,1,0,1,0,0,7,0.777777778
Luís Fabiano-10,2010,9,Luís Fabiano,0,A,8-Nov-80,29,38,Sevilla,Spain,1,0,1,0,3,7,0.7
Gomes-10,2010,12,Gomes,0,G,15-Feb-81,29,11,Tottenham,England,1,0,1,0,0,2,0.2
Luisão-10,2010,14,Luisão,0,D,13-Feb-81,29,45,Benfica,Portugal,1,1,1,0,0,8,0.8
Thiago Silva-14,2014,3,Thiago Silva,1,D,22-Sep-84,29,46,Paris Saint-Germain,France,1,1,1,0,1,6,0.6
Fernandinho-14,2014,5,Fernandinho,0,MC,4-May-85,29,7,Manchester City,England,1,1,1,0,1,2,0.2
Hernanes-14,2014,18,Hernanes,0,MC,29-May-85,29,24,Internazionale,Italy,1,0,1,0,0,7,0.7
Paulinho-18,2018,16,Paulinho,15,MC,25-Jul-88,29,48,Barcelona,Spain,1,1,1,0,3,9,0.9
Willian-18,2018,18,Willian,19,MC,9-Aug-88,29,55,Chelsea,England,1,0,1,0,1,10,1
Taffarel-94,1994,1,Taffarel,0,G,8-May-66,28,65,Reggiana,Italy,1,0,0,0,0,9,0.6
Ronaldão-94,1994,4,Ronaldão,0,D,19-Jun-65,28,9,Shimizu S-Pulse,Japan,1,0,1,0,0,1,0.066666667
Romário-94,1994,11,Romário,0,A,29-Jan-66,28,34,Barcelona,Spain,1,1,1,0,7,4,0.266666667
Aldair-94,1994,13,Aldair,0,D,30-Nov-65,28,23,Roma,Italy,1,0,0,0,0,3,0.2
Mazinho-94,1994,17,Mazinho,0,MC,8-Apr-66,28,33,Palmeiras,Brazil,1,1,1,0,0,4,0.266666667
Müller-94,1994,19,Müller,0,A,31-Jan-66,28,56,São Paulo,Brazil,1,0,1,1,1,9,0.6
Cafu-98,1998,2,Cafu,0,D,7-Jun-70,28,69,Roma,Italy,1,0,1,0,1,12,0.6
Júnior Baiano-98,1998,4,Júnior Baiano,0,D,14-Mar-70,28,18,Flamengo,Brazil,1,0,1,0,2,18,0.9
Leonardo-98,1998,18,Leonardo,0,MC,5-Sep-69,28,49,Milan,Italy,1,0,0,0,0,8,0.4
Marcos-02,2002,1,Marcos,0,G,4-Aug-73,28,17,Palmeiras,Brazil,1,0,0,0,0,11,0.785714286
Dida-02,2002,12,Dida,0,G,7-Oct-73,28,54,Corinthians,Brazil,1,0,0,0,0,4,0.285714286
Júnior-02,2002,16,Júnior,0,D,20-Jun-73,28,14,Parma,Italy,1,0,0,0,0,11,0.785714286
Vampeta-02,2002,18,Vampeta,0,MC,13-Mar-74,28,39,Corinthians,Brazil,1,0,0,0,0,8,0.571428571
Lúcio-06,2006,3,Lúcio,0,D,8-May-78,28,52,Bayern Munich,Germany,1,1,1,0,2,8,0.888888889
Maicon-10,2010,2,Maicon,0,D,26-Jul-81,28,59,Internazionale,Italy,1,1,1,1,0,10,1
Elano-10,2010,7,Elano,0,MC,14-Jun-81,28,44,Galatasaray,Turkey,1,0,1,0,1,9,0.9
Kaka-10,2010,10,Kaká,0,MC,22-Apr-82,28,81,Real Madrid,Spain,1,0,1,0,1,8,0.8
Júlio Baptista-10,2010,19,Júlio Baptista,0,MC,1-Oct-81,28,49,Roma,Italy,1,0,1,0,1,5,0.5
Fágner-18,2018,5,Fágner,22,D,11-Jun-89,28,4,Corinthians,Brazil,1,1,1,0,0,1,0.1
Zinho-94,1994,9,Zinho,0,MC,17-Jun-67,27,32,Palmeiras,Brazil,1,1,1,0,2,12,0.8
C. Germano-98,1998,12,C. Germano,0,G,14-Aug-70,27,8,Vasco da Gama,Brazil,1,1,1,0,0,3,0.15
Edmundo-98,1998,21,Edmundo,0,A,2-Apr-71,27,35,Fiorentina,Italy,1,0,1,0,1,7,0.35
Juan-06,2006,4,Juan,0,D,1-Feb-79,27,40,Bayer Leverkusen,Germany,1,0,1,0,1,8,0.888888889
Dani Alves-10,2010,13,Dani Alves,0,D,6-May-83,27,36,Barcelona,Spain,1,1,1,0,0,0,0
David Luiz-14,2014,4,David Luiz,0,D,22-Apr-87,27,36,Chelsea,England,1,0,1,0,0,9,0.9
Hulk-14,2014,7,Hulk,0,A,25-Jul-86,27,35,Zenit Saint Petersburg,Russia,1,1,1,0,3,8,0.8
Henrique-14,2014,15,Henrique,0,D,14-Oct-86,27,5,Napoli,Italy,1,0,0,0,0,3,0.3
Ramires-14,2014,16,Ramires,0,MC,24-Mar-87,27,42,Chelsea,England,1,0,1,0,1,8,0.8
Jô-14,2014,21,Jô,0,A,20-Mar-87,27,17,Atlético Mineiro,Brazil,1,0,0,0,3,10,1
Douglas Costa-18,2018,19,Douglas Costa,7,A,14-Sep-90,27,24,Juventus,Italy,1,1,1,0,0,4,0.4
Mauro Silva-94,1994,5,Mauro Silva,0,MC,12-Jan-68,26,36,Deportivo La Coruña,Spain,1,0,1,0,0,10,0.666666667
Giovanni-98,1998,7,Giovanni,0,MC,4-Feb-72,26,15,Barcelona,Spain,1,1,1,0,1,2,0.1
Rivaldo-98,1998,10,Rivaldo,0,MC,19-Apr-72,26,19,Barcelona,Spain,1,1,1,0,3,7,0.35
Doriva-98,1998,17,Doriva,0,MC,28-May-72,26,13,Porto,Portugal,1,1,1,0,0,8,0.4
Ricardinho-02,2002,7,Ricardinho,0,MC,23-May-76,26,,Corinthians,Brazil,1,0,0,0,0,0,0
Luizão-02,2002,21,Luizão,0,A,14-Nov-75,26,12,Grêmio,Brazil,1,0,1,0,0,6,0.428571429
Ronaldinho-06,2006,10,Ronaldinho,0,MC,21-Mar-80,26,67,Barcelona,Spain,1,1,1,1,0,5,0.555555556
Júlio César-06,2006,22,Júlio César,0,G,3-Sep-79,26,12,Internazionale,Italy,1,1,1,0,0,1,0.111111111
Felipe Melo-10,2010,5,Felipe Melo,0,MC,26-Aug-83,26,18,Juventus,Italy,1,0,0,0,0,8,0.8
Michel Bastos-10,2010,6,Michel Bastos,0,D,2-Aug-83,26,5,Lyon,France,1,0,1,0,1,5,0.5
Robinho-10,2010,11,Robinho,0,A,25-Jan-84,26,78,Santos,Brazil,1,0,0,0,4,5,0.5
Marcelo-14,2014,6,Marcelo,0,D,12-May-88,26,32,Real Madrid,Spain,1,1,1,1,0,6,0.6
Luiz Gustavo-14,2014,17,Luiz Gustavo,0,MC,23-Jul-87,26,19,Wolfsburg,Germany,1,0,0,0,1,9,0.9
Danilo-18,2018,4,Danilo,14,D,15-Jul-91,26,16,Manchester City,England,1,1,1,0,0,3,0.3
Casemiro-18,2018,12,Casemiro,5,MC,23-Feb-92,26,22,Real Madrid,Spain,1,0,1,1,0,9,0.9
Roberto Firmino-18,2018,20,R. Firmino,20,A,2-Oct-91,26,19,Liverpool,England,1,0,1,0,1,6,0.6
Neymar-18,2018,22,Neymar,10,A,5-Feb-92,26,83,Paris Saint-Germain,France,1,1,1,0,3,8,0.8
Paulo Sérgio-94,1994,18,Paulo Sérgio,0,MC,2-Jun-69,25,11,Bayer Leverkusen,Germany,1,0,1,0,0,5,0.333333333
Viola-94,1994,21,Viola,0,A,1-Jan-69,25,6,Corinthians,Brazil,1,0,1,0,1,5,0.333333333
Roberto Carlos-98,1998,6,Roberto Carlos,0,D,10-Apr-73,25,49,Real Madrid,Spain,1,0,1,0,0,10,0.5
Roque Júnior-02,2002,4,Roque Júnior,0,D,31-Aug-76,25,19,Milan,Italy,1,0,1,0,0,8,0.571428571
Edmilson-02,2002,5,Edmilson,0,D,10-Jul-76,25,15,Lyon,France,1,1,1,0,1,5,0.357142857
G. Silva-02,2002,8,G. Silva,0,MC,7-Oct-76,25,8,Atlético Mineiro,Brazil,1,0,1,0,3,8,0.571428571
Ronaldo-02,2002,9,Ronaldo,0,A,18-Sep-76,25,62,Internazionale,Italy,1,0,1,0,1,4,0.285714286
Belletti-02,2002,13,Belletti,0,D,20-Jun-76,25,12,São Paulo,Brazil,1,0,0,0,0,8,0.571428571
Cicinho-06,2006,13,Cicinho,0,D,24-Jun-80,25,12,Real Madrid,Spain,1,0,1,0,1,6,0.666666667
Luisão-06,2006,14,Luisão,0,D,13-Feb-81,25,22,Benfica,Portugal,1,0,1,0,0,3,0.333333333
Thiago Silva-10,2010,15,Thiago Silva,0,D,22-Sep-84,25,45,Milan,Italy,1,0,1,0,0,3,0.3
Nilmar-10,2010,21,Nilmar,0,A,14-Jul-84,25,17,Villarreal,Spain,1,0,0,0,6,9,0.9
Paulinho-14,2014,8,Paulinho,0,MC,25-Jul-88,25,26,Tottenham,England,1,0,0,0,0,9,0.9
Willian-14,2014,19,Willian,0,MC,9-Aug-88,25,7,Chelsea,England,1,0,1,0,2,5,0.5
Alisson-18,2018,1,Alisson,1,G,2-Oct-92,25,24,Roma,Italy,1,0,1,0,0,9,0.9
P. Coutinho-18,2018,13,P. Coutinho,11,MC,12-Jun-92,25,34,Barcelona,Spain,1,1,1,0,3,9,0.9
Fred-18,2018,15,Fred,18,MC,5-Mar-93,25,7,Shaktar Donetsk,Ukraine,1,1,1,0,0,2,0.2
Cafu-94,1994,14,Cafu,0,D,7-Jun-70,24,29,São Paulo,Brazil,1,0,1,1,1,7,0.466666667
Márcio Santos-94,1994,15,Márcio Santos,0,D,15-Sep-69,24,27,Bordeaux,France,1,0,1,0,1,8,0.533333333
Leonardo-94,1994,16,Leonardo,0,D,5-Sep-69,24,15,São Paulo,Brazil,1,0,1,1,0,7,0.466666667
Dida-98,1998,22,Dida,0,G,7-Oct-73,24,18,Cruzeiro,Brazil,1,0,0,1,0,6,0.3
Lúcio-02,2002,3,Lúcio,0,D,8-May-78,24,16,Bayer Leverkusen,Germany,1,0,1,0,0,7,0.5
Denílson-02,2002,17,Denílson,0,A,24-Aug-77,24,56,Real Betis,Spain,1,0,0,0,1,10,0.714285714
Adriano-06,2006,7,Adriano,0,A,17-Feb-82,24,35,Internazionale,Italy,1,1,1,0,8,9,1
Kaká-06,2006,8,Kaká,0,MC,22-Apr-82,24,40,Milan,Italy,1,0,1,0,3,8,0.888888889
Ederson-18,2018,3,Ederson,23,G,17-Aug-93,24,1,Manchester City,England,1,1,1,0,0,1,0.1
Marquinhos-18,2018,10,Marquinhos,13,D,14-May-94,24,24,Paris Saint-Germain,France,1,1,1,0,0,7,0.7
Zé Roberto-98,1998,16,Zé Roberto,0,MC,6-Jul-74,23,20,Flamengo,Brazil,1,0,1,0,0,6,0.3
A. Polga-02,2002,14,A. Polga,0,D,9-Feb-79,23,7,Grêmio,Brazil,1,0,1,0,0,7,0.5
Ramires-10,2010,18,Ramires,0,MC,24-Mar-87,23,12,Benfica,Portugal,1,1,1,0,2,5,0.5
Émerson-98,1998,11,Émerson,0,MC,4-Apr-76,22,3,Bayer Leverkusen,Germany,1,0,1,0,0,3,0.15
Ronaldinho-02,2002,11,Ronaldinho,0,MC,21-Mar-80,22,26,Paris Saint-Germain,France,1,0,1,0,3,5,0.357142857
Kléberson-02,2002,15,Kléberson,0,MC,19-Jun-79,22,7,Atlético Paranaense,Brazil,1,1,1,0,2,7,0.5
Fred-06,2006,21,Fred,0,A,3-Oct-83,22,3,Lyon,France,1,1,1,0,3,2,0.222222222
Robinho-06,2006,23,Robinho,0,A,25-Jan-84,22,25,Real Madrid,Spain,1,0,1,0,2,8,0.888888889
Neymar-14,2014,10,Neymar,0,A,5-Feb-92,22,49,Barcelona,Spain,1,0,1,0,7,10,1
Oscar-14,2014,11,Oscar,0,MC,9-Sep-91,22,31,Chelsea,England,1,0,1,0,3,9,0.9
Ronaldo-98,1998,9,Ronaldo,0,A,22-Sep-76,21,40,Internazionale,Italy,1,0,1,0,6,11,0.55
Bernard-14,2014,20,Bernard,0,A,8-Sep-92,21,11,Shaktar Donetsk,Ukraine,1,1,1,0,1,6,0.6
Gabriel Jesus-18,2018,21,Gabriel Jesus,9,A,3-Apr-97,21,15,Manchester City,England,1,1,1,0,5,10,1
Denílson-98,1998,19,Denílson,0,MC,24-Aug-77,20,27,São Paulo,Brazil,1,0,0,0,4,17,0.85
Kaká-02,2002,23,Kaká,0,MC,22-Apr-82,20,3,São Paulo,Brazil,1,0,0,0,1,3,0.214285714
Ronaldo-94,1994,20,Ronaldo,0,A,22-Sep-76,17,3,Cruzeiro,Brazil,1,0,0,0,1,4,0.266666667